Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	DHN	EFFICIENCY	GRID	AMMONIA_TO_H2	ATM_CCS	BIOMETHANATION	BIO_HYDROLYSIS	GASIFICATION_SNG	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1							3.809139	11.734826																						-11.702504									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000000		-0.000001		-0.000000								-0.034140					-0.000000								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209870	0.000000						-0.000000	0.000000																																			-0.000001	13.603559															0.000000	
 1 	 2							3.809139	11.734826																						-11.702505									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000000		-0.000001		-0.000000								-0.013667					-0.000000								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209870	0.000000						-0.000000	0.000000																																			-0.000001	13.583088															0.000000	
 1 	 3							3.809139	11.734826																						-11.702505									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000000		-0.000001		-0.000000								-0.006805					-0.000000								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209870	0.000000						-0.000000	0.000000																																			-0.000001	13.576225															0.000000	
 1 	 4							3.809139	11.734826																						-11.702505									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000000		-0.000001		-0.000000								-0.082005					-0.000000								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209870	0.000000						-0.000000	0.000000																																			-0.000001	13.651426															0.000000	
 1 	 5							3.809139	11.734826																						-11.702506									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000000		-0.000001		-0.000000								-0.218680					-0.000000								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209870	0.000000						-0.000000	0.000000																																			-0.000001	13.788101															0.000000	
 1 	 6							3.809139	11.734826																						-11.702506									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000001		-0.000001		-0.000000								-0.546699					-0.000001								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209871	0.000000						-0.000000	0.000000																																			-0.000001	14.116121															0.000000	
 1 	 7							3.809139	11.734826																						-11.702505									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000001		-0.000001		-0.000000								-1.059085					-0.000002								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209871	0.000000						-0.000001	0.000000																																			-0.000001	14.628506															0.000000	
 1 	 8							3.809139	11.734826																						-11.702505									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000001		-0.000001		-0.000000								-0.922427					-0.000001								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209871	0.000000						-0.000001	0.000000																																			-0.000001	14.491849															0.000000	
 1 	 9							3.809139	11.734826																						-11.702505									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000001		-0.000001		-0.000000								-0.854101					-0.000001								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209871	0.000000						-0.000001	0.000000																																			-0.000001	14.423523															0.000000	
 1 	 10							3.809139	11.734826																						-8.960743									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000001		-0.000001		-0.000000								-0.956596					-0.000001								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209871	0.000000						-0.000001	0.000000																																			-0.000001	11.784254															0.000000	
 1 	 11							3.809139	11.734826																						-3.054636									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000001		-0.000001		-0.000000								-1.093248					-0.000002								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209871	0.000000						-0.000001	0.000000																																			-0.000001	6.014799															0.000000	
 1 	 12							3.809139	11.734826																						-0.000017									-15.929001			-0.000000							-0.000003					-0.000000						-0.000000	-0.000001		-0.000001		-0.000000								-1.202576					-0.000002								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209871	0.000000						-0.000001	0.000000																																			-0.000001	3.069508															0.000000	
 1 	 13							3.809139	11.734826																						-0.000006									-15.929000			-0.000000							-0.000003					-0.000000						-0.000000	-0.000001		-0.000001		-0.000000								-1.093248					-0.000002								-0.366718						-3.325027			-0.000000			-0.000000								0.000000	2.209871	0.000000						-0.000001	0.000000																																			-0.000001	2.960168															0.000000	
