Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	DHN	EFFICIENCY	GRID	AMMONIA_TO_H2	ATM_CCS	BIOMETHANATION	BIO_HYDROLYSIS	GASIFICATION_SNG	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	PYROLYSIS_TO_FUELS	PYROLYSIS_TO_LFO	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1						6.430795																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003697	0.003679							0.000000	
 1 	 2						6.430816																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003708	0.003668							0.000000	
 1 	 3						6.430853																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003791	0.003715							0.000000	
 1 	 4						6.430828																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003778	0.003726							0.000000	
 1 	 5						6.430828																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003778	0.003727							0.000000	
 1 	 6						6.430841																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003785	0.003720							0.000000	
 1 	 7						6.430819																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003773	0.003732							0.000000	
 1 	 8						6.430820																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003774	0.003731							0.000000	
 1 	 9						6.430815																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003772	0.003734							0.000000	
 1 	 10						6.430806																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003767	0.003738							0.000000	
 1 	 11						6.430802																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003765	0.003740							0.000000	
 1 	 12						6.430780																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003754	0.003752							0.000000	
 1 	 13						6.430797																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003763	0.003743							0.000000	
 1 	 14						6.430794																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003761	0.003744							0.000000	
 1 	 15						6.430768																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003748	0.003758							0.000000	
 1 	 16						6.430765																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003747	0.003759							0.000000	
 1 	 17						6.430764																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003746	0.003760							0.000000	
 1 	 18						6.430793																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003761	0.003745							0.000000	
 1 	 19						6.430799																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003764	0.003742							0.000000	
 1 	 20						6.430801																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003765	0.003740							0.000000	
 1 	 21						6.430801																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003765	0.003741							0.000000	
 1 	 22						6.430803																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003766	0.003740							0.000000	
 1 	 23						6.430812																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430781																0.000001																																													-0.003770	0.003735							0.000000	
 1 	 24						6.430801																																						-0.000000												-0.000000						-0.000000					-0.000000																														-6.430780																0.000001																																													-0.003765	0.003740							0.000000	
 2 	 1						6.430196																																						-0.000002												-0.000004						-0.000004					-0.000003																														-6.430783																0.000004																																													-0.003438	0.004040							0.000000	
 2 	 2						6.430294																																						-0.000002												-0.000005						-0.000004					-0.000003																														-6.430783																0.000004																																													-0.003490	0.003997							0.000000	
 2 	 3						6.430346																																						-0.000002												-0.000005						-0.000002					-0.000003																														-6.430784																0.000004																																													-0.003519	0.003974							0.000000	
 2 	 4						6.430394																																						-0.000002												-0.000005						-0.000004					-0.000003																														-6.430783																0.000004																																													-0.003544	0.003950							0.000000	
 2 	 5						6.430423																																						-0.000002												-0.000006						-0.000004					-0.000003																														-6.430783																0.000004																																													-0.003560	0.003937							0.000000	
 2 	 6						6.430440																																						-0.000002												-0.000006						-0.000004					-0.000003																														-6.430783																0.000004																																													-0.003569	0.003929							0.000000	
