;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[DALY];[beuro];[kt/y];[impact/GWh];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_op;crit_2_op;crit_3_op;lca_res;Comment
Non-renewable;Other non-renewable;ELECTRICITY;27567.31134;0.206485714;0.08433;0;0.146;0.001;0.03;0;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.082366044;0.25;0.459;0.001;0.004;0;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.079743788;0.27;0.461;0.001;0.003;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.111323944;0.25;0.185;0.001;0.003;0;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.120074962;0.27;0.638;0.006;0.012;0;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.06015058;0.26;0.418;0.001;0.003;0;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.04425306;0.2;0.283;0.001;0.001;0;
Renewable;Biofuel;GAS_RE;1.00E+15;0;0.118326;0.2;0.296;0.001;0.014;0;
Renewable;Biomass;WOOD;23400;0.0118;0.032815086;0.39;0.023;0.002;0.001;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.00575743;0.39;0.21;0.001;0.002;0;
Non-renewable;Fossil fuel;COAL;33354.99944;0.4014;0.017657892;0.36;1.504;0.003;0.207;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.003876456;0;0.015;0;0;0;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.023080857;0.26;0.487;0.001;0;0;
Non-renewable;Other non-renewable;H2;1.00E+15;0.36380236;0.088003981;0;0;0;0;0;
Renewable;Biofuel;H2_RE;1.00E+15;0;0.119242396;0;0;0;0;0;
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.094714031;0;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.101985823;0.24570329;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE;1.00E+15;0;0.081823311;0;0;0;0;0;
Renewable;Biofuel;METHANOL_RE;1.00E+15;0;0.111323944;0.24570329;0;0;0;0;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
